ID   Number   Group
634   634   4
635   635   5
636   636   6
637   637   7
638   638   8
639   639   9
640   640   0
641   641   1
642   642   2
643   643   3
644   644   4
645   645   5
646   646   6
647   647   7
648   648   8
649   649   9
650   650   0
651   651   1
652   652   2
653   653   3
654   654   4
655   655   5
656   656   6
657   657   7
658   658   8
659   659   9
660   660   0
661   661   1
662   662   2
663   663   3
664   664   4
665   665   5
666   666   6
667   667   7
668   668   8
669   669   9
670   670   0
671   671   1
672   672   2
673   673   3
674   674   4
675   675   5
676   676   6
677   677   7
678   678   8
679   679   9
680   680   0
681   681   1
682   682   2
683   683   3
684   684   4
685   685   5
686   686   6
687   687   7
688   688   8
689   689   9
690   690   0
691   691   1
692   692   2
693   693   3
694   694   4
695   695   5
696   696   6
697   697   7
698   698   8
699   699   9
700   700   0
701   701   1
702   702   2
703   703   3
704   704   4
705   705   5
706   706   6
707   707   7
708   708   8
709   709   9
710   710   0
711   711   1
712   712   2
713   713   3
714   714   4
715   715   5
716   716   6
717   717   7
718   718   8
719   719   9
720   720   0
721   721   1
722   722   2
723   723   3
724   724   4
725   725   5
726   726   6
727   727   7
728   728   8
729   729   9
730   730   0
731   731   1
732   732   2
733   733   3
734   734   4
735   735   5
736   736   6
737   737   7
738   738   8
739   739   9
740   740   0
741   741   1
742   742   2
743   743   3
744   744   4
745   745   5
746   746   6
747   747   7
748   748   8
749   749   9
750   750   0
751   751   1
752   752   2
753   753   3
754   754   4
755   755   5
756   756   6
757   757   7
758   758   8
759   759   9
760   760   0
761   761   1
762   762   2
763   763   3
764   764   4
765   765   5
766   766   6
767   767   7
768   768   8
769   769   9
770   770   0
771   771   1
772   772   2
773   773   3
774   774   4
775   775   5
776   776   6
777   777   7
778   778   8
779   779   9
780   780   0
781   781   1
782   782   2
783   783   3
784   784   4
785   785   5
786   786   6
787   787   7
788   788   8
789   789   9
790   790   0
791   791   1
792   792   2
793   793   3
794   794   4
795   795   5
796   796   6
797   797   7
798   798   8
799   799   9
800   800   0
801   801   1
802   802   2
803   803   3
804   804   4
805   805   5
806   806   6
807   807   7
808   808   8
809   809   9
810   810   0
811   811   1
812   812   2
813   813   3
814   814   4
815   815   5
816   816   6
817   817   7
818   818   8
819   819   9
820   820   0
821   821   1
822   822   2
823   823   3
824   824   4
825   825   5
826   826   6
827   827   7
828   828   8
829   829   9
830   830   0
831   831   1
832   832   2
833   833   3
834   834   4
835   835   5
836   836   6
837   837   7
838   838   8
839   839   9
840   840   0
841   841   1
842   842   2
843   843   3
844   844   4
845   845   5
846   846   6
847   847   7
848   848   8
849   849   9
850   850   0
851   851   1
852   852   2
853   853   3
854   854   4
855   855   5
856   856   6
857   857   7
858   858   8
859   859   9
860   860   0
861   861   1
862   862   2
863   863   3
864   864   4
865   865   5
866   866   6
867   867   7
868   868   8
869   869   9
870   870   0
871   871   1
872   872   2
873   873   3
874   874   4
875   875   5
876   876   6
877   877   7
878   878   8
879   879   9
880   880   0
881   881   1
882   882   2
883   883   3
884   884   4
885   885   5
886   886   6
887   887   7
888   888   8
889   889   9
890   890   0
891   891   1
892   892   2
893   893   3
894   894   4
895   895   5
896   896   6
897   897   7
898   898   8
899   899   9
900   900   0
901   901   1
902   902   2
903   903   3
904   904   4
905   905   5
906   906   6
907   907   7
908   908   8
909   909   9
910   910   0
911   911   1
912   912   2
913   913   3
914   914   4
915   915   5
916   916   6
917   917   7
918   918   8
919   919   9
920   920   0
921   921   1
922   922   2
923   923   3
924   924   4
925   925   5
926   926   6
927   927   7
928   928   8
929   929   9
930   930   0
931   931   1
932   932   2
933   933   3
934   934   4
935   935   5
936   936   6
937   937   7
938   938   8
939   939   9
940   940   0
941   941   1
942   942   2
943   943   3
944   944   4
945   945   5
946   946   6
947   947   7
948   948   8
949   949   9
950   950   0
951   951   1
952   952   2
953   953   3
954   954   4
955   955   5
956   956   6
957   957   7
958   958   8
959   959   9
960   960   0
961   961   1
962   962   2
963   963   3
964   964   4
965   965   5
966   966   6
967   967   7
968   968   8
969   969   9
970   970   0
971   971   1
972   972   2
973   973   3
974   974   4
975   975   5
976   976   6
977   977   7
978   978   8
979   979   9
980   980   0
981   981   1
982   982   2
983   983   3
984   984   4
985   985   5
986   986   6
987   987   7
988   988   8
989   989   9
990   990   0
991   991   1
992   992   2
993   993   3
994   994   4
995   995   5
996   996   6
997   997   7
998   998   8
999   999   9
